Region,County,First Dose,Series Complete,Report as of
Southern Tier,Chemung,38024,36102,07/22/2021
Southern Tier,Chenango,24839,23535,07/22/2021
North Country,Clinton,48235,46209,07/22/2021
Capital Region,Columbia,36166,33750,07/22/2021
Central New York,Cortland,23635,22487,07/22/2021
Southern Tier,Delaware,21089,19832,07/22/2021
Mid-Hudson,Dutchess,173203,158318,07/22/2021
Western New York,Erie,549553,514637,07/22/2021
North Country,Essex,22679,21721,07/22/2021
North Country,Franklin,25047,23714,07/22/2021
Mohawk Valley,Fulton,23551,22287,07/22/2021
Finger Lakes,Genesee,29232,27595,07/22/2021
Capital Region,Greene,25195,23055,07/22/2021
North Country,Hamilton,3091,2913,07/22/2021
Mohawk Valley,Herkimer,29185,27407,07/22/2021
North Country,Jefferson,57637,47958,07/22/2021
New York City,Kings,1327182,1217818,07/22/2021
North Country,Lewis,11315,10802,07/22/2021
Finger Lakes,Livingston,32246,30818,07/22/2021
Central New York,Madison,43831,41456,07/22/2021
Finger Lakes,Monroe,452307,431479,07/22/2021
Mohawk Valley,Montgomery,27523,26019,07/22/2021
Long Island,Nassau,916989,852037,07/22/2021
New York City,New York,1140280,1055223,07/22/2021
Western New York,Niagara,116814,110349,07/22/2021
Mohawk Valley,Oneida,120419,113042,07/22/2021
Central New York,Onondaga,289283,272486,07/22/2021
Finger Lakes,Ontario,67436,64595,07/22/2021
Mid-Hudson,Orange,189723,174125,07/22/2021
Finger Lakes,Orleans,18551,17590,07/22/2021
Central New York,Oswego,62065,59060,07/22/2021
Mohawk Valley,Otsego,32456,30834,07/22/2021
Mid-Hudson,Putnam,62961,57541,07/22/2021
New York City,Queens,1497356,1370883,07/22/2021
Capital Region,Rensselaer,94055,88830,07/22/2021
New York City,Richmond,258124,237742,07/22/2021
Mid-Hudson,Rockland,170867,156096,07/22/2021
Capital Region,Saratoga,150449,142954,07/22/2021
Capital Region,Schenectady,105879,99431,07/22/2021
Mohawk Valley,Schoharie,15345,14624,07/22/2021
Southern Tier,Schuyler,8975,8535,07/22/2021
Finger Lakes,Seneca,15606,14782,07/22/2021
North Country,St. Lawrence,55849,52608,07/22/2021
Southern Tier,Steuben,42399,40486,07/22/2021
Long Island,Suffolk,904074,833355,07/22/2021
Mid-Hudson,Sullivan,37542,34439,07/22/2021
Southern Tier,Tioga,20671,19685,07/22/2021
Southern Tier,Tompkins,68480,65456,07/22/2021
Mid-Hudson,Ulster,114803,106561,07/22/2021
Capital Region,Warren,42333,40642,07/22/2021
Capital Region,Washington,33362,31946,07/22/2021
Finger Lakes,Wayne,50290,47966,07/22/2021
Mid-Hudson,Westchester,635984,588941,07/22/2021
Finger Lakes,Wyoming,18122,17175,07/22/2021
Finger Lakes,Yates,11559,10947,07/22/2021
Capital Region,Albany,196439,184166,07/23/2021
Western New York,Allegany,17462,16539,07/23/2021
New York City,Bronx,707130,638140,07/23/2021
Southern Tier,Broome,107187,102073,07/23/2021
Western New York,Cattaraugus,33434,31226,07/23/2021
Central New York,Cayuga,39505,37235,07/23/2021
Western New York,Chautauqua,62360,58041,07/23/2021
Southern Tier,Chemung,38091,36170,07/23/2021
Southern Tier,Chenango,24881,23598,07/23/2021
North Country,Clinton,48288,46261,07/23/2021
Capital Region,Columbia,36237,33798,07/23/2021
Central New York,Cortland,23658,22506,07/23/2021
Southern Tier,Delaware,21137,19879,07/23/2021
Mid-Hudson,Dutchess,173502,158533,07/23/2021
Western New York,Erie,550416,515215,07/23/2021
North Country,Essex,22701,21737,07/23/2021
North Country,Franklin,25110,23755,07/23/2021
Mohawk Valley,Fulton,23578,22300,07/23/2021
Finger Lakes,Genesee,29274,27622,07/23/2021
Capital Region,Greene,25223,23082,07/23/2021
North Country,Hamilton,3093,2915,07/23/2021
Mohawk Valley,Herkimer,29254,27476,07/23/2021
North Country,Jefferson,57714,48000,07/23/2021
New York City,Kings,1330767,1220785,07/23/2021
North Country,Lewis,11333,10820,07/23/2021
Finger Lakes,Livingston,32307,30853,07/23/2021
Central New York,Madison,43882,41511,07/23/2021
Finger Lakes,Monroe,452863,431920,07/23/2021
Mohawk Valley,Montgomery,27558,26044,07/23/2021
Long Island,Nassau,918912,853665,07/23/2021
New York City,New York,1143220,1057609,07/23/2021
Western New York,Niagara,116949,110448,07/23/2021
Mohawk Valley,Oneida,120604,113176,07/23/2021
Central New York,Onondaga,289743,272857,07/23/2021
Finger Lakes,Ontario,67510,64643,07/23/2021
Mid-Hudson,Orange,190102,174425,07/23/2021
Finger Lakes,Orleans,18582,17622,07/23/2021
Central New York,Oswego,62148,59132,07/23/2021
Mohawk Valley,Otsego,32489,30866,07/23/2021
Mid-Hudson,Putnam,63049,57630,07/23/2021
New York City,Queens,1501460,1374413,07/23/2021
Capital Region,Rensselaer,94191,88932,07/23/2021
New York City,Richmond,258996,238487,07/23/2021
Mid-Hudson,Rockland,171198,156372,07/23/2021
Capital Region,Saratoga,150656,143071,07/23/2021
Capital Region,Schenectady,106023,99542,07/23/2021
Mohawk Valley,Schoharie,15383,14643,07/23/2021
Southern Tier,Schuyler,8986,8544,07/23/2021
Finger Lakes,Seneca,15628,14796,07/23/2021
North Country,St. Lawrence,55922,52658,07/23/2021
Southern Tier,Steuben,42484,40535,07/23/2021
Long Island,Suffolk,906070,834998,07/23/2021
Mid-Hudson,Sullivan,37612,34475,07/23/2021
Southern Tier,Tioga,20705,19705,07/23/2021
Southern Tier,Tompkins,68557,65521,07/23/2021
Mid-Hudson,Ulster,114985,106687,07/23/2021
Capital Region,Warren,42392,40706,07/23/2021
Capital Region,Washington,33429,32011,07/23/2021
Finger Lakes,Wayne,50350,47996,07/23/2021
Mid-Hudson,Westchester,637414,590107,07/23/2021
Finger Lakes,Wyoming,18162,17222,07/23/2021
Finger Lakes,Yates,11571,10960,07/23/2021
Capital Region,Albany,196615,184296,07/24/2021
Western New York,Allegany,17475,16541,07/24/2021
New York City,Bronx,708641,639234,07/24/2021
Southern Tier,Broome,107316,102155,07/24/2021
Western New York,Cattaraugus,33462,31254,07/24/2021
Central New York,Cayuga,39542,37268,07/24/2021
Western New York,Chautauqua,62434,58082,07/24/2021
Southern Tier,Chemung,38130,36208,07/24/2021
Southern Tier,Chenango,24912,23612,07/24/2021
North Country,Clinton,48317,46283,07/24/2021
Capital Region,Columbia,36289,33827,07/24/2021
Central New York,Cortland,23674,22520,07/24/2021
Southern Tier,Delaware,21174,19913,07/24/2021
Mid-Hudson,Dutchess,173732,158712,07/24/2021
Western New York,Erie,551113,515661,07/24/2021
North Country,Essex,22717,21743,07/24/2021
North Country,Franklin,25118,23764,07/24/2021
Mohawk Valley,Fulton,23605,22313,07/24/2021
Finger Lakes,Genesee,29308,27638,07/24/2021
Capital Region,Greene,25260,23093,07/24/2021
North Country,Hamilton,3093,2915,07/24/2021
Mohawk Valley,Herkimer,29292,27495,07/24/2021
North Country,Jefferson,57762,48029,07/24/2021
New York City,Kings,1333658,1223197,07/24/2021
North Country,Lewis,11343,10826,07/24/2021
Finger Lakes,Livingston,32351,30870,07/24/2021
Central New York,Madison,43913,41530,07/24/2021
Finger Lakes,Monroe,453361,432280,07/24/2021
Mohawk Valley,Montgomery,27596,26057,07/24/2021
Long Island,Nassau,920523,854987,07/24/2021
New York City,New York,1144818,1058721,07/24/2021
Western New York,Niagara,117095,110536,07/24/2021
Mohawk Valley,Oneida,120730,113260,07/24/2021
Central New York,Onondaga,290035,273076,07/24/2021
Finger Lakes,Ontario,67566,64690,07/24/2021
Mid-Hudson,Orange,190390,174651,07/24/2021
Finger Lakes,Orleans,18602,17632,07/24/2021
Central New York,Oswego,62214,59167,07/24/2021
Mohawk Valley,Otsego,32516,30881,07/24/2021
Mid-Hudson,Putnam,63133,57699,07/24/2021
New York City,Queens,1504639,1377269,07/24/2021
Capital Region,Rensselaer,94285,88997,07/24/2021
New York City,Richmond,259480,238914,07/24/2021
Mid-Hudson,Rockland,171507,156568,07/24/2021
Capital Region,Saratoga,150791,143155,07/24/2021
Capital Region,Schenectady,106152,99629,07/24/2021
Mohawk Valley,Schoharie,15408,14657,07/24/2021
Southern Tier,Schuyler,8994,8550,07/24/2021
Finger Lakes,Seneca,15644,14798,07/24/2021
North Country,St. Lawrence,55956,52683,07/24/2021
Southern Tier,Steuben,42526,40573,07/24/2021
Long Island,Suffolk,907810,836265,07/24/2021
Mid-Hudson,Sullivan,37642,34503,07/24/2021
Southern Tier,Tioga,20748,19733,07/24/2021
Southern Tier,Tompkins,68599,65556,07/24/2021
Mid-Hudson,Ulster,115094,106770,07/24/2021
Capital Region,Warren,42429,40736,07/24/2021
Capital Region,Washington,33464,32038,07/24/2021
Finger Lakes,Wayne,50404,48029,07/24/2021
Mid-Hudson,Westchester,638286,590733,07/24/2021
Finger Lakes,Wyoming,18182,17225,07/24/2021
Finger Lakes,Yates,11580,10964,07/24/2021
Capital Region,Albany,196727,184358,07/25/2021
Western New York,Allegany,17482,16549,07/25/2021
New York City,Bronx,709414,639820,07/25/2021
Southern Tier,Broome,107383,102188,07/25/2021
Western New York,Cattaraugus,33490,31275,07/25/2021
Central New York,Cayuga,39566,37277,07/25/2021
Western New York,Chautauqua,62481,58105,07/25/2021
Southern Tier,Chemung,38161,36235,07/25/2021
Southern Tier,Chenango,24929,23624,07/25/2021
North Country,Clinton,48340,46299,07/25/2021
Capital Region,Columbia,36319,33842,07/25/2021
Central New York,Cortland,23700,22543,07/25/2021
Southern Tier,Delaware,21191,19922,07/25/2021
Mid-Hudson,Dutchess,173864,158811,07/25/2021
Western New York,Erie,551567,515961,07/25/2021
North Country,Essex,22725,21748,07/25/2021
North Country,Franklin,25129,23766,07/25/2021
Mohawk Valley,Fulton,23614,22323,07/25/2021
Finger Lakes,Genesee,29331,27649,07/25/2021
Capital Region,Greene,25283,23099,07/25/2021
North Country,Hamilton,3094,2915,07/25/2021
Mohawk Valley,Herkimer,29315,27503,07/25/2021
North Country,Jefferson,57792,48039,07/25/2021
New York City,Kings,1335456,1224775,07/25/2021
North Country,Lewis,11344,10826,07/25/2021
Finger Lakes,Livingston,32365,30882,07/25/2021
Central New York,Madison,43940,41557,07/25/2021
Finger Lakes,Monroe,453710,432500,07/25/2021
Mohawk Valley,Montgomery,27610,26073,07/25/2021
Long Island,Nassau,921556,855744,07/25/2021
New York City,New York,1145968,1059540,07/25/2021
Western New York,Niagara,117187,110596,07/25/2021
Mohawk Valley,Oneida,120807,113325,07/25/2021
Central New York,Onondaga,290224,273202,07/25/2021
Finger Lakes,Ontario,67608,64718,07/25/2021
Mid-Hudson,Orange,190621,174788,07/25/2021
Finger Lakes,Orleans,18616,17648,07/25/2021
Central New York,Oswego,62250,59186,07/25/2021
Mohawk Valley,Otsego,32533,30893,07/25/2021
Mid-Hudson,Putnam,63180,57734,07/25/2021
New York City,Queens,1506532,1379114,07/25/2021
Capital Region,Rensselaer,94353,89041,07/25/2021
New York City,Richmond,259848,239202,07/25/2021
Mid-Hudson,Rockland,171662,156663,07/25/2021
Capital Region,Saratoga,150861,143195,07/25/2021
Capital Region,Schenectady,106218,99672,07/25/2021
Mohawk Valley,Schoharie,15425,14661,07/25/2021
Southern Tier,Schuyler,8996,8550,07/25/2021
Finger Lakes,Seneca,15649,14803,07/25/2021
North Country,St. Lawrence,55981,52696,07/25/2021
Southern Tier,Steuben,42544,40590,07/25/2021
Long Island,Suffolk,908940,837080,07/25/2021
Mid-Hudson,Sullivan,37668,34530,07/25/2021
Southern Tier,Tioga,20761,19740,07/25/2021
Southern Tier,Tompkins,68624,65570,07/25/2021
Mid-Hudson,Ulster,115180,106824,07/25/2021
Capital Region,Warren,42470,40752,07/25/2021
Capital Region,Washington,33478,32051,07/25/2021
Finger Lakes,Wayne,50454,48068,07/25/2021
Mid-Hudson,Westchester,638865,591034,07/25/2021
Finger Lakes,Wyoming,18191,17229,07/25/2021
Finger Lakes,Yates,11591,10971,07/25/2021
Capital Region,Albany,196956,184503,07/26/2021
Western New York,Allegany,17488,16562,07/26/2021
New York City,Bronx,711319,640810,07/26/2021
Southern Tier,Broome,107488,102249,07/26/2021
Western New York,Cattaraugus,33566,31288,07/26/2021
Central New York,Cayuga,39615,37316,07/26/2021
Western New York,Chautauqua,62542,58124,07/26/2021
Southern Tier,Chemung,38187,36242,07/26/2021
Southern Tier,Chenango,24954,23648,07/26/2021
North Country,Clinton,48373,46331,07/26/2021
Capital Region,Columbia,36365,33880,07/26/2021
Central New York,Cortland,23749,22578,07/26/2021
Southern Tier,Delaware,21203,19937,07/26/2021
Mid-Hudson,Dutchess,174104,158945,07/26/2021
Western New York,Erie,552440,516341,07/26/2021
North Country,Essex,22754,21757,07/26/2021
North Country,Franklin,25154,23783,07/26/2021
Mohawk Valley,Fulton,23647,22344,07/26/2021
Finger Lakes,Genesee,29354,27654,07/26/2021
Capital Region,Greene,25323,23119,07/26/2021
North Country,Hamilton,3095,2915,07/26/2021
Mohawk Valley,Herkimer,29350,27535,07/26/2021
North Country,Jefferson,57861,48089,07/26/2021
New York City,Kings,1338438,1226559,07/26/2021
North Country,Lewis,11364,10844,07/26/2021
Finger Lakes,Livingston,32401,30910,07/26/2021
Central New York,Madison,43982,41573,07/26/2021
Finger Lakes,Monroe,454075,432655,07/26/2021
Mohawk Valley,Montgomery,27651,26083,07/26/2021
Long Island,Nassau,923123,856668,07/26/2021
New York City,New York,1147580,1060508,07/26/2021
Western New York,Niagara,117336,110638,07/26/2021
Mohawk Valley,Oneida,120957,113393,07/26/2021
Central New York,Onondaga,290442,273326,07/26/2021
Finger Lakes,Ontario,67653,64739,07/26/2021
Mid-Hudson,Orange,191049,175038,07/26/2021
Finger Lakes,Orleans,18628,17650,07/26/2021
Central New York,Oswego,62322,59220,07/26/2021
Mohawk Valley,Otsego,32552,30910,07/26/2021
Mid-Hudson,Putnam,63269,57778,07/26/2021
New York City,Queens,1509530,1380794,07/26/2021
Capital Region,Rensselaer,94470,89098,07/26/2021
New York City,Richmond,260481,239537,07/26/2021
Mid-Hudson,Rockland,171926,156835,07/26/2021
Capital Region,Saratoga,151010,143314,07/26/2021
Capital Region,Schenectady,106403,99745,07/26/2021
Mohawk Valley,Schoharie,15445,14665,07/26/2021
Southern Tier,Schuyler,9002,8552,07/26/2021
Finger Lakes,Seneca,15666,14812,07/26/2021
North Country,St. Lawrence,56069,52765,07/26/2021
Southern Tier,Steuben,42601,40616,07/26/2021
Long Island,Suffolk,910781,838099,07/26/2021
Mid-Hudson,Sullivan,37728,34571,07/26/2021
Southern Tier,Tioga,20784,19752,07/26/2021
Southern Tier,Tompkins,68667,65588,07/26/2021
Mid-Hudson,Ulster,115308,106919,07/26/2021
Capital Region,Warren,42526,40793,07/26/2021
Capital Region,Washington,33524,32075,07/26/2021
Finger Lakes,Wayne,50498,48088,07/26/2021
Mid-Hudson,Westchester,639913,591615,07/26/2021
Finger Lakes,Wyoming,18213,17237,07/26/2021
Finger Lakes,Yates,11596,10973,07/26/2021
Capital Region,Albany,197198,184698,07/27/2021
Western New York,Allegany,17524,16573,07/27/2021
New York City,Bronx,713975,642761,07/27/2021
Southern Tier,Broome,107632,102347,07/27/2021
Western New York,Cattaraugus,33671,31342,07/27/2021
Central New York,Cayuga,39664,37355,07/27/2021
Western New York,Chautauqua,62654,58212,07/27/2021
Southern Tier,Chemung,38253,36271,07/27/2021
Southern Tier,Chenango,25000,23660,07/27/2021
North Country,Clinton,48404,46351,07/27/2021
Capital Region,Columbia,36402,33909,07/27/2021
Central New York,Cortland,23782,22594,07/27/2021
Southern Tier,Delaware,21227,19955,07/27/2021
Mid-Hudson,Dutchess,174432,159114,07/27/2021
Western New York,Erie,553591,520053,07/27/2021
North Country,Essex,22772,21764,07/27/2021
North Country,Franklin,25180,23804,07/27/2021
Mohawk Valley,Fulton,23685,22365,07/27/2021
Finger Lakes,Genesee,29388,27703,07/27/2021
Capital Region,Greene,25370,23147,07/27/2021
North Country,Hamilton,3100,2917,07/27/2021
Mohawk Valley,Herkimer,29399,27559,07/27/2021
North Country,Jefferson,57968,48130,07/27/2021
New York City,Kings,1341927,1229131,07/27/2021
North Country,Lewis,11380,10859,07/27/2021
Finger Lakes,Livingston,32458,30963,07/27/2021
Central New York,Madison,44044,41608,07/27/2021
Finger Lakes,Monroe,454824,433520,07/27/2021
Mohawk Valley,Montgomery,27697,26114,07/27/2021
Long Island,Nassau,925280,858110,07/27/2021
New York City,New York,1149634,1062275,07/27/2021
Western New York,Niagara,117520,111138,07/27/2021
Mohawk Valley,Oneida,121169,113519,07/27/2021
Central New York,Onondaga,290831,273647,07/27/2021
Finger Lakes,Ontario,67726,64795,07/27/2021
Mid-Hudson,Orange,191381,175331,07/27/2021
Finger Lakes,Orleans,18659,17665,07/27/2021
Central New York,Oswego,62406,59260,07/27/2021
Mohawk Valley,Otsego,32594,30924,07/27/2021
Mid-Hudson,Putnam,63398,57850,07/27/2021
New York City,Queens,1513074,1385531,07/27/2021
Capital Region,Rensselaer,94600,89183,07/27/2021
New York City,Richmond,261096,240012,07/27/2021
Mid-Hudson,Rockland,172459,157202,07/27/2021
Capital Region,Saratoga,151181,143625,07/27/2021
Capital Region,Schenectady,106602,99864,07/27/2021
Mohawk Valley,Schoharie,15480,14681,07/27/2021
Southern Tier,Schuyler,9016,8557,07/27/2021
Finger Lakes,Seneca,15691,14820,07/27/2021
North Country,St. Lawrence,56137,52874,07/27/2021
Southern Tier,Steuben,42652,40697,07/27/2021
Long Island,Suffolk,912993,839820,07/27/2021
Mid-Hudson,Sullivan,37777,34633,07/27/2021
Southern Tier,Tioga,20809,19771,07/27/2021
Southern Tier,Tompkins,68722,65625,07/27/2021
Mid-Hudson,Ulster,115498,107038,07/27/2021
Capital Region,Warren,42582,40848,07/27/2021
Capital Region,Washington,33572,32115,07/27/2021
Finger Lakes,Wayne,50581,48143,07/27/2021
Mid-Hudson,Westchester,641329,592529,07/27/2021
Finger Lakes,Wyoming,18244,17247,07/27/2021
Finger Lakes,Yates,11613,10985,07/27/2021
Capital Region,Albany,197473,184908,07/28/2021
Western New York,Allegany,17534,16580,07/28/2021
New York City,Bronx,716787,644565,07/28/2021
Southern Tier,Broome,107794,102445,07/28/2021
Western New York,Cattaraugus,33759,31406,07/28/2021
Central New York,Cayuga,39742,37408,07/28/2021
Western New York,Chautauqua,62760,58265,07/28/2021
Southern Tier,Chemung,38301,36310,07/28/2021
Southern Tier,Chenango,25040,23689,07/28/2021
North Country,Clinton,48464,46383,07/28/2021
Capital Region,Columbia,36448,33940,07/28/2021
Central New York,Cortland,23823,22624,07/28/2021
Southern Tier,Delaware,21279,19986,07/28/2021
Mid-Hudson,Dutchess,174792,159384,07/28/2021
Western New York,Erie,554401,520645,07/28/2021
North Country,Essex,22792,21772,07/28/2021
North Country,Franklin,25206,23820,07/28/2021
Mohawk Valley,Fulton,23722,22399,07/28/2021
Finger Lakes,Genesee,29429,27733,07/28/2021
Capital Region,Greene,25416,23169,07/28/2021
North Country,Hamilton,3102,2918,07/28/2021
Mohawk Valley,Herkimer,29437,27592,07/28/2021
North Country,Jefferson,58079,48176,07/28/2021
New York City,Kings,1345435,1231817,07/28/2021
North Country,Lewis,11392,10869,07/28/2021
Finger Lakes,Livingston,32488,30987,07/28/2021
Central New York,Madison,44091,41628,07/28/2021
Finger Lakes,Monroe,455445,433998,07/28/2021
Mohawk Valley,Montgomery,27754,26150,07/28/2021
Long Island,Nassau,927339,859497,07/28/2021
New York City,New York,1151888,1063787,07/28/2021
Western New York,Niagara,117689,111260,07/28/2021
Mohawk Valley,Oneida,121316,113620,07/28/2021
Central New York,Onondaga,291217,273914,07/28/2021
Finger Lakes,Ontario,67794,64854,07/28/2021
Mid-Hudson,Orange,191780,175636,07/28/2021
Finger Lakes,Orleans,18685,17689,07/28/2021
Central New York,Oswego,62555,59349,07/28/2021
Mohawk Valley,Otsego,32646,30958,07/28/2021
Mid-Hudson,Putnam,63543,57964,07/28/2021
New York City,Queens,1517242,1388715,07/28/2021
Capital Region,Rensselaer,94756,89267,07/28/2021
New York City,Richmond,261783,240440,07/28/2021
Mid-Hudson,Rockland,172759,157391,07/28/2021
Capital Region,Saratoga,151356,143731,07/28/2021
Capital Region,Schenectady,106757,99975,07/28/2021
Mohawk Valley,Schoharie,15533,14703,07/28/2021
Southern Tier,Schuyler,9027,8570,07/28/2021
Finger Lakes,Seneca,15746,14828,07/28/2021
North Country,St. Lawrence,56225,52935,07/28/2021
Southern Tier,Steuben,42702,40723,07/28/2021
Long Island,Suffolk,915009,841110,07/28/2021
Mid-Hudson,Sullivan,37845,34699,07/28/2021
Southern Tier,Tioga,20839,19790,07/28/2021
Southern Tier,Tompkins,68781,65666,07/28/2021
Mid-Hudson,Ulster,115691,107147,07/28/2021
Capital Region,Warren,42626,40879,07/28/2021
Capital Region,Washington,33611,32140,07/28/2021
Finger Lakes,Wayne,50637,48172,07/28/2021
Mid-Hudson,Westchester,642611,593501,07/28/2021
Finger Lakes,Wyoming,18278,17270,07/28/2021
Finger Lakes,Yates,11638,11000,07/28/2021
Capital Region,Albany,197795,185065,07/29/2021
Western New York,Allegany,17555,16610,07/29/2021
New York City,Bronx,719238,646325,07/29/2021
Southern Tier,Broome,107939,102518,07/29/2021
Western New York,Cattaraugus,33853,31463,07/29/2021
Central New York,Cayuga,39792,37438,07/29/2021
Western New York,Chautauqua,62831,58319,07/29/2021
Southern Tier,Chemung,38358,36380,07/29/2021
Southern Tier,Chenango,25072,23703,07/29/2021
North Country,Clinton,48518,46437,07/29/2021
Capital Region,Columbia,36513,33977,07/29/2021
Central New York,Cortland,23850,22647,07/29/2021
Southern Tier,Delaware,21301,19998,07/29/2021
Mid-Hudson,Dutchess,175107,159611,07/29/2021
Western New York,Erie,555179,521139,07/29/2021
North Country,Essex,22803,21778,07/29/2021
North Country,Franklin,25231,23829,07/29/2021
Mohawk Valley,Fulton,23757,22416,07/29/2021
Finger Lakes,Genesee,29465,27758,07/29/2021
Capital Region,Greene,25450,23191,07/29/2021
North Country,Hamilton,3102,2919,07/29/2021
Mohawk Valley,Herkimer,29470,27621,07/29/2021
North Country,Jefferson,58183,48256,07/29/2021
New York City,Kings,1348865,1234425,07/29/2021
North Country,Lewis,11409,10878,07/29/2021
Finger Lakes,Livingston,32538,31015,07/29/2021
Central New York,Madison,44146,41666,07/29/2021
Finger Lakes,Monroe,456090,434430,07/29/2021
Mohawk Valley,Montgomery,27797,26179,07/29/2021
Long Island,Nassau,929339,860798,07/29/2021
New York City,New York,1154035,1065251,07/29/2021
Western New York,Niagara,117850,111408,07/29/2021
Mohawk Valley,Oneida,121504,113759,07/29/2021
Central New York,Onondaga,291597,274164,07/29/2021
Finger Lakes,Ontario,67872,64911,07/29/2021
Mid-Hudson,Orange,192182,175887,07/29/2021
Finger Lakes,Orleans,18715,17700,07/29/2021
Central New York,Oswego,62700,59413,07/29/2021
Mohawk Valley,Otsego,32689,30996,07/29/2021
Mid-Hudson,Putnam,63645,58036,07/29/2021
New York City,Queens,1520995,1391345,07/29/2021
Capital Region,Rensselaer,94916,89363,07/29/2021
New York City,Richmond,262497,240893,07/29/2021
Mid-Hudson,Rockland,173201,157649,07/29/2021
Capital Region,Saratoga,151531,143828,07/29/2021
Capital Region,Schenectady,106898,100077,07/29/2021
Mohawk Valley,Schoharie,15560,14726,07/29/2021
Southern Tier,Schuyler,9039,8578,07/29/2021
Finger Lakes,Seneca,15766,14843,07/29/2021
North Country,St. Lawrence,56292,52993,07/29/2021
Southern Tier,Steuben,42773,40771,07/29/2021
Long Island,Suffolk,917102,842335,07/29/2021
Mid-Hudson,Sullivan,37900,34770,07/29/2021
Southern Tier,Tioga,20867,19804,07/29/2021
Southern Tier,Tompkins,68834,65701,07/29/2021
Mid-Hudson,Ulster,115834,107243,07/29/2021
Capital Region,Warren,42685,40911,07/29/2021
Capital Region,Washington,33647,32158,07/29/2021
Finger Lakes,Wayne,50726,48216,07/29/2021
Mid-Hudson,Westchester,643926,594512,07/29/2021
Finger Lakes,Wyoming,18295,17276,07/29/2021
Finger Lakes,Yates,11651,11007,07/29/2021
Capital Region,Albany,198141,185272,07/30/2021
Western New York,Allegany,17623,16643,07/30/2021
New York City,Bronx,722694,648361,07/30/2021
Southern Tier,Broome,108058,102626,07/30/2021
Western New York,Cattaraugus,33911,31499,07/30/2021
Central New York,Cayuga,39859,37481,07/30/2021
Western New York,Chautauqua,62896,58373,07/30/2021
Southern Tier,Chemung,38452,36445,07/30/2021
Southern Tier,Chenango,25115,23747,07/30/2021
North Country,Clinton,48565,46476,07/30/2021
Capital Region,Columbia,36585,34049,07/30/2021
Central New York,Cortland,23890,22683,07/30/2021
Southern Tier,Delaware,21338,20031,07/30/2021
Mid-Hudson,Dutchess,175439,159846,07/30/2021
Western New York,Erie,556001,521831,07/30/2021
North Country,Essex,22850,21800,07/30/2021
North Country,Franklin,25259,23855,07/30/2021
Mohawk Valley,Fulton,23808,22443,07/30/2021
Finger Lakes,Genesee,29515,27782,07/30/2021
Capital Region,Greene,25499,23235,07/30/2021
North Country,Hamilton,3104,2919,07/30/2021
Mohawk Valley,Herkimer,29517,27644,07/30/2021
North Country,Jefferson,58276,48295,07/30/2021
New York City,Kings,1353565,1237319,07/30/2021
North Country,Lewis,11452,10897,07/30/2021
Finger Lakes,Livingston,32606,31054,07/30/2021
Central New York,Madison,44197,41730,07/30/2021
Finger Lakes,Monroe,456796,434993,07/30/2021
Mohawk Valley,Montgomery,27852,26223,07/30/2021
Long Island,Nassau,931503,862111,07/30/2021
New York City,New York,1156906,1066983,07/30/2021
Western New York,Niagara,118043,111566,07/30/2021
Mohawk Valley,Oneida,121691,113874,07/30/2021
Central New York,Onondaga,291978,274463,07/30/2021
Finger Lakes,Ontario,67981,64990,07/30/2021
Mid-Hudson,Orange,192620,176135,07/30/2021
Finger Lakes,Orleans,18734,17713,07/30/2021
Central New York,Oswego,62813,59492,07/30/2021
Mohawk Valley,Otsego,32738,31018,07/30/2021
Mid-Hudson,Putnam,63772,58125,07/30/2021
New York City,Queens,1525907,1394530,07/30/2021
Capital Region,Rensselaer,95044,89445,07/30/2021
New York City,Richmond,263428,241425,07/30/2021
Mid-Hudson,Rockland,173611,157875,07/30/2021
Capital Region,Saratoga,151742,143986,07/30/2021
Capital Region,Schenectady,107102,100198,07/30/2021
Mohawk Valley,Schoharie,15594,14742,07/30/2021
Southern Tier,Schuyler,9053,8588,07/30/2021
Finger Lakes,Seneca,15818,14875,07/30/2021
North Country,St. Lawrence,56370,53048,07/30/2021
Southern Tier,Steuben,42870,40826,07/30/2021
Long Island,Suffolk,919497,843807,07/30/2021
Mid-Hudson,Sullivan,37965,34811,07/30/2021
Southern Tier,Tioga,20895,19819,07/30/2021
Southern Tier,Tompkins,68926,65773,07/30/2021
Mid-Hudson,Ulster,116051,107369,07/30/2021
Capital Region,Warren,42735,40940,07/30/2021
Capital Region,Washington,33701,32192,07/30/2021
Finger Lakes,Wayne,50834,48288,07/30/2021
Mid-Hudson,Westchester,645323,595422,07/30/2021
Finger Lakes,Wyoming,18327,17304,07/30/2021
Finger Lakes,Yates,11667,11014,07/30/2021
Capital Region,Albany,198385,185385,07/31/2021
Western New York,Allegany,17646,16646,07/31/2021
New York City,Bronx,724488,649482,07/31/2021
Southern Tier,Broome,108203,102715,07/31/2021
Western New York,Cattaraugus,33971,31537,07/31/2021
Central New York,Cayuga,39920,37510,07/31/2021
Western New York,Chautauqua,62976,58429,07/31/2021
Southern Tier,Chemung,38488,36471,07/31/2021
Southern Tier,Chenango,25186,23769,07/31/2021
North Country,Clinton,48608,46502,07/31/2021
Capital Region,Columbia,36631,34075,07/31/2021
Central New York,Cortland,23926,22705,07/31/2021
Southern Tier,Delaware,21375,20058,07/31/2021
Mid-Hudson,Dutchess,175717,159993,07/31/2021
